733	926	950
734	927	951
735	928	952
736	929	953
737	930	954
738	931	955
739	932	956
740	933	957
741	934	958
742	935	959
743	936	960
744	937	961
745	938	962	1334
746	939	963	1335
747	940	1336
748	941	1337
749	1338
770	1373
771	964	988	1374
772	989	1375
773	966	990
774	967	991
775	968	992
776	969	993
777	970	994
778	971	995
779	972	996
780	973	997
781	974	998
782	975	999
783	976	1000
784	977	1001
785	978	1002
786	979	1003
787	980	1004	1356
788	981	1357
789	1358
812	1393
813	1006	1030
814	1007	1031
815	1008	1032
816	1009	1033
817	1010	1034
818	1011	1035
819	1012	1036
820	1013	1037
821	1014	1038
822	1015	1039
823	1016	1040
824	1017	1041
825	1018	1042
826	1019	1043
827	1020	1044
828	1021	1045
829	1376
